Regions,Countries,Accuracy,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
EUROPE,AUSTRIA,Measured,"307,915","308,594","298,182","293,697","319,403","328,563","356,145","336,010","319,035","303,318"
EUROPE,BELGIUM,Measured,"480,088","526,141","524,795","535,947","476,194","547,340","572,211","486,737","486,065","482,939"
EUROPE,DENMARK,Measured,"148,819","156,936","162,686","150,199","112,454","153,858","170,036","170,763","182,086","189,051"
EUROPE,FINLAND,Measured,"148,161","145,700","125,608","139,669","90,574","111,968","126,123","111,251","103,455","106,236"
EUROPE,FRANCE,Measured,"2,118,042","2,045,745","2,109,672","2,091,369","2,302,398","2,251,669","2,204,229","1,898,760","1,790,456","1,795,885"
EUROPE,GERMANY,Measured,"3,319,259","3,467,961","3,148,163","3,090,040","3,807,175","2,916,259","3,173,634","3,082,504","2,952,431","3,036,773"
EUROPE,GREECE,Measured,"269,728","267,669","279,745","267,295","219,730","141,501","97,680","58,482","58,694","71,218"
EUROPE,ICELAND,Measured,"18,060","17,129","15,942","9,033","2,113","3,106","5,038","7,902","7,274","9,536"
EUROPE,IRELAND,Measured,"171,742","178,484","186,325","151,607","57,453","88,446","89,911","79,498","74,367","96,344"
EUROPE,ITALY,Measured,"2,244,108","2,335,462","2,494,115","2,161,359","2,159,465","1,961,580","1,749,740","1,403,010","1,304,648","1,360,293"
EUROPE,LUXEMBOURG,Measured,"48,517","50,837","51,332","52,359","47,265","49,726","49,881","50,398","46,624","49,793"
EUROPE,NETHERLANDS,Measured,"465,196","483,999","504,300","499,980","387,699","482,531","555,812","502,544","416,717","387,835"
EUROPE,NORWAY,Measured,"109,907","109,164","129,195","110,617","98,675","127,754","138,345","137,967","142,151","144,202"
EUROPE,PORTUGAL,Measured,"206,488","194,702","201,816","213,389","161,013","223,464","153,404","95,309","105,921","142,826"
EUROPE,SPAIN,Measured,"1,528,877","1,634,608","1,614,835","1,161,176","952,772","982,015","808,051","699,589","722,689","855,308"
EUROPE,SWEDEN,Measured,"274,301","282,766","306,794","253,982","213,408","289,684","304,984","279,899","269,599","303,948"
EUROPE,SWITZERLAND (+FL),Measured,"266,770","269,421","284,674","288,525","266,018","294,239","318,958","328,139","307,885","301,942"
EUROPE,UNITED KINGDOM,Measured,"2,439,717","2,344,864","2,404,007","2,131,795","1,994,999","2,030,846","1,941,253","2,044,609","2,264,737","2,476,435"
EUROPE,BULGARIA*,Measured,"25,956","36,455","43,521","45,143","22,869","16,257","19,250","19,419","19,352","20,359"
EUROPE,CROATIA,Measured,"70,541","78,775","82,664","88,265","44,918","38,587","41,561","31,360","27,802","33,997"
EUROPE,CYPRUS,Measured,"17,687","18,639","22,878","22,241","14,981","14,088","13,480","10,123","7,000","7,794"
EUROPE,CZECH REPUBLIC,Measured,"151,699","156,686","174,456","182,554","167,708","169,580","173,595","174,009","164,736","192,314"
EUROPE,ESTONIA,Measured,"19,640","25,363","30,912","24,579","9,946","10,295","17,070","19,424","19,694","20,861"
EUROPE,HUNGARY,Measured,"198,982","187,676","171,661","153,278","60,189","43,476","45,094","53,059","56,139","67,476"
EUROPE,LATVIA,Measured,"10,467","14,234","21,606","22,217","7,515","7,970","13,234","10,665","10,636","12,452"
EUROPE,LITHUANIA,Measured,"16,602","25,582","32,771","19,831","5,367","6,365","10,980","12,165","12,163","14,503"
EUROPE,MALTA,Measured,"6,552","6,745","6,240","5,423","5,894","4,056","5,428","5,884","5,749","6,451"
EUROPE,POLAND,Measured,"207,007","224,728","277,427","319,190","276,220","315,855","277,427","272,719","289,913","327,709"
EUROPE,ROMANIA,Measured,"214,967","247,411","312,533","285,506","116,016","94,441","81,709","66,436","57,710","70,172"
EUROPE,SLOVAKIA,Measured,"56,916","59,084","59,700","70,040","74,717","64,033","68,203","69,268","66,000","72,249"
EUROPE,SLOVENIA,Measured,"59,324","59,578","68,719","71,575","57,967","61,142","60,193","50,091","52,268","53,296"
"RUSSIA, TURKEY & OTHER EUROPE",ALBANIA,Estimated,800,800,"1,600","1,600","1,000","1,600","2,100","2,300","2,300","2,500"
"RUSSIA, TURKEY & OTHER EUROPE",ARMENIA,Estimated,"11,000","12,000","6,000","4,000","4,000","4,000","4,000","5,000","5,000","5,200"
"RUSSIA, TURKEY & OTHER EUROPE",BELARUS,Estimated,"9,000","13,000","20,000","22,000","12,000","15,000","15,000","20,000","19,600","22,300"
"RUSSIA, TURKEY & OTHER EUROPE",BOSNIA,Estimated,"10,000","10,000","15,000","13,000","12,000","10,000","10,000","10,000","9,800","8,900"
"RUSSIA, TURKEY & OTHER EUROPE",GEORGIA,Estimated,"1,500","2,000","6,000","8,000","1,000","4,000","3,000","4,000","4,000","4,300"
"RUSSIA, TURKEY & OTHER EUROPE",MACEDONIA,Estimated,"9,300","10,000","10,200","10,500","6,000","8,500","8,500","5,000","2,000","2,700"
"RUSSIA, TURKEY & OTHER EUROPE",MOLDAVIA,Estimated,"4,000","5,000","7,000","11,000","4,000","5,000","5,500","5,000","5,000","5,600"
"RUSSIA, TURKEY & OTHER EUROPE",RUSSIA,Measured,"1,520,225","1,911,240","2,514,920","2,897,459","1,465,742","1,912,794","2,653,688","2,755,384","2,649,181","2,286,877"
"RUSSIA, TURKEY & OTHER EUROPE",SERBIA,Measured,"21,603","25,610","32,772","36,177","30,000","28,951","22,181","22,800","23,000","23,900"
"RUSSIA, TURKEY & OTHER EUROPE",TURKEY,Measured,"438,597","373,219","357,465","305,998","369,819","509,784","593,519","556,280","664,655","587,331"
"RUSSIA, TURKEY & OTHER EUROPE",UKRAINE,Measured,"258,395","361,549","500,357","599,985","170,085","169,540","207,453","237,602","213,322","97,020"
North America,CANADA,Measured,"847,436","858,826","841,585","872,720","729,023","694,349","681,956","748,530","755,615","755,500"
North America,MEXICO,Measured,"714,010","680,946","641,394","589,045","439,120","503,748","592,101","649,333","698,217","745,250"
North America,UNITED STATES OF AMERICA,Measured,"7,659,983","7,761,592","7,562,334","6,769,107","5,400,890","5,635,432","6,089,403","7,241,900","7,585,341","7,687,619"
CENTRAL & SOUTH AMERICA,ARGENTINA,Measured,"290,648","336,296","422,230","452,539","373,231","522,591","673,853","596,397","684,379","432,696"
CENTRAL & SOUTH AMERICA,BAHAMAS,Estimated,"2,500","2,000","2,000","2,000","3,500","2,000","2,000","2,500","2,000","1,600"
CENTRAL & SOUTH AMERICA,BELIZE,Estimated,100,200,100,200,150,100,100,200,200,200
